frame;time;x;y;team_id
10313;412.52;53.62;36.02;554
10314;412.56;53.96;36.32;554
10315;412.60;54.30;36.62;554
10316;412.64;54.64;36.92;554
10317;412.68;54.97;37.22;554
10318;412.72;55.31;37.51;554
10319;412.76;55.65;37.81;554
10320;412.80;55.99;38.11;554
10321;412.84;56.33;38.41;554
10322;412.88;56.67;38.71;554
10323;412.92;57.01;39.01;554
10324;412.96;57.35;39.31;554
10325;413;57.68;39.61;554
10326;413.04;58.02;39.91;554
10327;413.08;58.36;40.21;554
10328;413.12;58.70;40.51;554
10329;413.16;59.04;40.80;554
10330;413.20;59.38;41.10;554
10331;413.24;59.72;41.40;554
10332;413.28;60.05;41.70;554
10333;413.32;60.39;42;554
10334;413.36;60.73;42.30;554
10335;413.40;61.07;42.60;554
10336;413.44;61.41;42.90;554
10337;413.48;61.75;43.20;554
10338;413.52;62.09;43.50;554
10339;413.56;62.43;43.79;554
10340;413.60;62.76;44.09;554
10341;413.64;63.10;44.39;554
10342;413.68;63.44;44.69;554
10343;413.72;63.78;44.99;554
10344;413.76;63.75;45.08;554
10345;413.80;63.72;45.16;554
10346;413.84;63.68;45.25;554
10347;413.88;63.65;45.34;554
10348;413.92;63.62;45.43;554
10349;413.96;63.59;45.51;554
10350;414;63.56;45.60;554
10351;414.04;63.52;45.69;554
10352;414.08;63.49;45.77;554
10353;414.12;63.46;45.86;554
10354;414.16;63.43;45.95;554
10355;414.20;63.40;46.04;554
10356;414.24;63.37;46.12;554
10357;414.28;63.33;46.21;554
10358;414.32;63.30;46.30;554
10359;414.36;63.27;46.38;554
10360;414.40;63.24;46.47;554
10361;414.44;63.21;46.56;554
10362;414.48;63.17;46.65;554
10363;414.52;63.14;46.73;554
10364;414.56;63.11;46.82;554
10365;414.60;63.24;47.19;554
10366;414.64;63.37;47.56;554
10367;414.68;63.49;47.93;554
10368;414.72;63.62;48.30;554
10369;414.76;63.75;48.67;554
10370;414.80;63.88;49.04;554
10371;414.84;64.01;49.41;554
10372;414.88;64.13;49.78;554
10373;414.92;64.26;50.15;554
10374;414.96;64.39;50.52;554
10375;415;64.52;50.89;554
10376;415.04;64.65;51.26;554
10377;415.08;64.78;51.63;554
10378;415.12;64.90;52;554
10379;415.16;65.03;52.37;554
10380;415.20;65.16;52.74;554
10381;415.24;65.29;53.11;554
10382;415.28;65.42;53.48;554
10383;415.32;65.54;53.85;554
10384;415.36;65.67;54.22;554
10385;415.40;65.80;54.59;554
10386;415.44;65.93;54.96;554
10387;415.48;66.06;55.33;554
10388;415.52;66.18;55.71;554
10389;415.56;66.31;56.08;554
10390;415.60;66.44;56.45;554
10391;415.64;66.57;56.82;554
10392;415.68;66.70;57.19;554
10393;415.72;66.82;57.56;554
10394;415.76;66.95;57.93;554
10395;415.80;67.08;58.30;554
10396;415.84;67.21;58.67;554
10397;415.88;67.34;59.04;554
10398;415.92;67.46;59.41;554
10399;415.96;67.59;59.78;554
10400;416;67.72;60.15;554
10401;416.04;67.85;60.52;554
10402;416.08;67.98;60.89;554
10403;416.12;68.11;61.26;554
10404;416.16;68.23;61.63;554
10405;416.20;68.36;62;554
10406;416.24;68.49;62.37;554
10407;416.28;68.62;62.74;554
10408;416.32;68.75;63.11;554
10409;416.36;68.87;63.48;554
10410;416.40;69;63.85;554
10411;416.44;69.13;64.22;554
10412;416.48;69.19;64.20;554
10413;416.52;69.24;64.18;554
10414;416.56;69.30;64.16;554
10415;416.60;69.35;64.13;554
10416;416.64;69.41;64.11;554
10417;416.68;69.46;64.09;554
10418;416.72;69.52;64.07;554
10419;416.76;69.58;64.05;554
10420;416.80;69.63;64.03;554
10421;416.84;69.69;64.01;554
10422;416.88;69.74;63.98;554
10423;416.92;69.80;63.96;554
10424;416.96;69.85;63.94;554
10425;417;69.91;63.92;554
10426;417.04;69.97;63.90;554
10427;417.08;70.02;63.88;554
10428;417.12;70.08;63.86;554
10429;417.16;70.13;63.83;554
10430;417.20;70.19;63.81;554
10431;417.24;70.24;63.79;554
10432;417.28;70.30;63.77;554
10433;417.32;70.81;63.32;554
10434;417.36;71.32;62.87;554
10435;417.40;71.83;62.42;554
10436;417.44;72.34;61.97;554
10437;417.48;72.85;61.52;554
10438;417.52;73.35;61.07;554
10439;417.56;73.86;60.62;554
10440;417.60;74.37;60.17;554
10441;417.64;74.88;59.72;554
10442;417.68;75.39;59.27;554
10443;417.72;75.90;58.82;554
10444;417.76;76.41;58.38;554
10445;417.80;76.92;57.93;554
10446;417.84;77.43;57.48;554
10447;417.88;77.94;57.03;554
10448;417.92;78.45;56.58;554
10449;417.96;78.96;56.13;554
10450;418;79.46;55.68;554
10451;418.04;79.97;55.23;554
10452;418.08;80.48;54.78;554
10453;418.12;80.99;54.33;554
10454;418.16;81.50;53.88;554
10455;418.20;82.01;53.43;554
10456;418.24;82;53.37;554
10457;418.28;81.98;53.31;554
10458;418.32;81.97;53.25;554
10459;418.36;81.96;53.19;554
10460;418.40;81.94;53.12;554
10461;418.44;81.93;53.06;554
10462;418.48;81.92;53;554
10463;418.52;81.90;52.94;554
10464;418.56;81.89;52.88;554
10465;418.60;81.88;52.82;554
10466;418.64;81.86;52.76;554
10467;418.68;81.85;52.70;554
10468;418.72;81.84;52.64;554
10469;418.76;81.82;52.58;554
10470;418.80;81.81;52.51;554
10471;418.84;81.79;52.45;554
10472;418.88;81.78;52.39;554
10473;418.92;81.77;52.33;554
10474;418.96;81.75;52.27;554
10475;419;81.74;52.21;554
10476;419.04;81.73;52.15;554
10477;419.08;81.71;52.09;554
10478;419.12;81.70;52.03;554
10479;419.16;81.69;51.97;554
10480;419.20;81.67;51.90;554
10481;419.24;81.66;51.84;554
10482;419.28;81.65;51.78;554
10483;419.32;81.63;51.72;554
10484;419.36;81.62;51.66;554
10485;419.40;81.60;51.13;554
10486;419.44;81.59;50.60;554
10487;419.48;81.57;50.08;554
10488;419.52;81.56;49.55;554
10489;419.56;81.54;49.02;554
10490;419.60;81.53;48.49;554
10491;419.64;81.51;47.96;554
10492;419.68;81.50;47.43;554
10493;419.72;81.48;46.91;554
10494;419.76;81.47;46.38;554
10495;419.80;81.45;45.85;554
10496;419.84;81.44;45.32;554
10497;419.88;81.42;44.79;554
10498;419.92;81.41;44.26;554
10499;419.96;81.39;43.74;554
10500;420;81.37;43.21;554
10501;420.04;81.36;42.68;554
10502;420.08;81.34;42.15;554
10503;420.12;81.33;41.62;554
10504;420.16;81.31;41.09;554
10505;420.20;81.30;40.57;554
10506;420.24;81.28;40.04;554
10507;420.28;81.27;39.51;554
10508;420.32;81.25;38.98;554
10509;420.36;81.24;38.45;554
10510;420.40;81.22;37.92;554
10511;420.44;81.21;37.40;554
10512;420.48;81.19;36.87;554
10513;420.52;81.18;36.34;554
10514;420.56;81.16;35.81;554
10515;420.60;81.15;35.28;554
10516;420.64;81.13;34.75;554
10517;420.68;81.11;34.23;554
10518;420.72;81.10;33.70;554
10519;420.76;81.08;33.17;554
10520;420.80;81.07;32.64;554
10521;420.84;81.05;32.11;554
10522;420.88;81.04;31.58;554
10523;420.92;81.02;31.06;554
10524;420.96;81.01;30.53;554
10525;421;80.99;30;554
10526;421.04;80.98;29.47;554
10527;421.08;80.96;28.94;554
10528;421.12;80.95;28.41;554
10529;421.16;80.93;27.89;554
10530;421.20;80.92;27.36;554
10531;421.24;80.90;26.83;554
10532;421.28;80.82;26.80;554
10533;421.32;80.75;26.78;554
10534;421.36;80.67;26.75;554
10535;421.40;80.60;26.72;554
10536;421.44;80.52;26.70;554
10537;421.48;80.45;26.67;554
10538;421.52;80.37;26.64;554
10539;421.56;80.30;26.62;554
10540;421.60;80.22;26.59;554
10541;421.64;80.15;26.57;554
10542;421.68;80.07;26.54;554
10543;421.72;80;26.51;554
10544;421.76;79.92;26.49;554
10545;421.80;79.85;26.46;554
10546;421.84;79.77;26.43;554
10547;421.88;79.70;26.41;554
10548;421.92;79.62;26.38;554
10549;421.96;79.55;26.35;554
10550;422;79.47;26.33;554
10551;422.04;79.40;26.30;554
10552;422.08;79.32;26.27;554
10553;422.12;79.25;26.25;554
10554;422.16;79.17;26.22;554
10555;422.20;79.09;26.20;554
10556;422.24;79.02;26.17;554
10557;422.28;78.94;26.14;554
10558;422.32;78.87;26.12;554
10559;422.36;78.79;26.09;554
10560;422.40;78.72;26.06;554
10561;422.44;78.64;26.04;554
10562;422.48;78.57;26.01;554
10563;422.52;78.49;25.98;554
10564;422.56;78.42;25.96;554
10565;422.60;78.34;25.93;554
10566;422.64;78.27;25.90;554
10567;422.68;78.19;25.88;554
10568;422.72;78.12;25.85;554
10569;422.76;78.04;25.83;554
10570;422.80;77.97;25.80;554
10571;422.84;77.89;25.77;554
10572;422.88;77.82;25.75;554
10573;422.92;77.74;25.72;554
10574;422.96;77.67;25.69;554
10575;423;77.59;25.67;554
10576;423.04;77.51;25.64;554
10577;423.08;77.44;25.61;554
10578;423.12;77.36;25.59;554
10579;423.16;77.29;25.56;554
10580;423.20;77.21;25.53;554
10581;423.24;77.14;25.51;554
10582;423.28;77.06;25.48;554
10583;423.32;76.99;25.45;554
10584;423.36;76.91;25.43;554
10585;423.40;76.84;25.40;554
10586;423.44;76.76;25.38;554
10587;423.48;76.69;25.35;554
10588;423.52;76.61;25.32;554
10589;423.56;76.54;25.30;554
10590;423.60;76.46;25.27;554
10591;423.64;76.39;25.24;554
10592;423.68;76.31;25.22;554
10593;423.72;76.24;25.19;554
10594;423.76;76.16;25.16;554
10595;423.80;76.09;25.14;554
10596;423.84;76.01;25.11;554
10597;423.88;75.94;25.08;554
10598;423.92;75.86;25.06;554
10599;423.96;75.78;25.03;554
10600;424;75.71;25.01;554
10601;424.04;75.63;24.98;554
10602;424.08;75.56;24.95;554
10603;424.12;75.48;24.93;554
10604;424.16;75.41;24.90;554
10605;424.20;75.33;24.87;554
10606;424.24;75.26;24.85;554
10607;424.28;75.18;24.82;554
10608;424.32;75.11;24.79;554
10609;424.36;75.03;24.77;554
10610;424.40;74.96;24.74;554
10611;424.44;74.88;24.71;554
10612;424.48;74.81;24.69;554
10613;424.52;74.73;24.66;554
10614;424.56;74.66;24.64;554
10615;424.60;74.58;24.61;554
10616;424.64;74.51;24.58;554
10617;424.68;74.43;24.56;554
10618;424.72;74.36;24.53;554
10619;424.76;74.28;24.50;554
10620;424.80;74.21;24.48;554
10621;424.84;74.13;24.45;554
10622;424.88;74.55;24.71;554
10623;424.92;74.96;24.96;554
10624;424.96;75.38;25.22;554
10625;425;75.80;25.48;554
10626;425.04;76.21;25.73;554
10627;425.08;76.63;25.99;554
10628;425.12;77.04;26.25;554
10629;425.16;77.46;26.50;554
10630;425.20;77.88;26.76;554
10631;425.24;78.29;27.02;554
10632;425.28;78.71;27.27;554
10633;425.32;79.13;27.53;554
10634;425.36;79.54;27.79;554
10635;425.40;79.96;28.04;554
10636;425.44;80.38;28.30;554
10637;425.48;80.79;28.56;554
10638;425.52;81.21;28.81;554
10639;425.56;81.63;29.07;554
10640;425.60;82.04;29.33;554
10641;425.64;82.46;29.58;554
10642;425.68;82.87;29.84;554
10643;425.72;83.29;30.10;554
10644;425.76;83.71;30.35;554
10645;425.80;84.12;30.61;554
10646;425.84;84.54;30.86;554
10647;425.88;84.96;31.12;554
10648;425.92;85.37;31.38;554
10649;425.96;85.79;31.63;554
10650;426;86.21;31.89;554
10651;426.04;86.62;32.15;554
10652;426.08;87.04;32.40;554
10653;426.12;87.45;32.66;554
10654;426.16;87.87;32.92;554
10655;426.20;88.29;33.17;554
10656;426.24;88.70;33.43;554
10657;426.28;89.12;33.69;554
10658;426.32;89.54;33.94;554
10659;426.36;89.95;34.20;554
10660;426.40;90.37;34.46;554
10661;426.44;90.79;34.71;554
10662;426.48;91.20;34.97;554
10663;426.52;91.62;35.23;554
10664;426.56;92.04;35.48;554
10665;426.60;92.45;35.74;554
10666;426.64;92.87;36;554
10667;426.68;93.28;36.25;554
10668;426.72;93.70;36.51;554
10669;426.76;94.12;36.77;554
10670;426.80;94.53;37.02;554
10671;426.84;94.95;37.28;554
10672;426.88;94.90;37.32;554
10673;426.92;94.85;37.35;554
10674;426.96;94.81;37.39;554
10675;427;94.76;37.42;554
