start_x;start_y;end_x;end_y;event_type_id;player_id;target_player_id;start_frame;end_frame;team_id;success
53.62;36.02;63.78;44.99;12;3399;3394;10313;10343;554;1
63.78;44.99;63.11;46.82;0;3394;;10343;10364;554;1
63.11;46.82;69.13;64.22;1;3394;3390;10364;10411;554;1
69.13;64.22;70.30;63.77;0;3390;;10411;10432;554;1
70.30;63.77;82.01;53.43;1;3390;3811;10432;10455;554;1
82.01;53.43;81.62;51.66;0;3811;;10455;10484;554;1
81.62;51.66;80.90;26.83;1;3811;3781;10484;10531;554;1
80.90;26.83;74.13;24.45;0;3781;;10531;10621;554;1
74.13;24.45;94.95;37.28;1;3781;3780;10621;10671;554;1
94.95;37.28;93.17;38.59;0;3780;;10671;10708;554;1
93.17;38.59;86.31;16.02;1;3780;3781;10708;10753;554;1
86.31;16.02;76.77;13.98;0;3781;;10753;10818;554;1
76.77;13.98;52.91;2.70;1;3781;3784;10818;10863;554;1
52.91;2.70;52.86;2.70;0;3784;;10863;10864;554;1
53;2.68;61.95;1.57;1;3784;3810;10864;10903;554;1
61.95;1.57;61.65;1.73;0;3810;;10903;10915;554;1
61.65;1.73;80.91;14.63;1;3810;3781;10915;10956;554;1
80.91;14.63;79.12;21.11;0;3781;;10956;11002;554;1
79.12;21.11;79.33;29.04;1;3781;3838;11002;11022;554;1
79.33;29.04;79.29;29.04;0;3838;;11022;11023;554;1
79.32;28.78;79.50;20.96;1;3838;3781;11023;11038;554;1
79.50;20.96;81.14;21.71;0;3781;;11038;11064;554;1
81.14;21.71;96;37.22;1;3781;3780;11064;11108;554;1
96;37.22;94.59;38.30;0;3780;;11108;11171;554;1
94.59;38.30;88.78;13.88;1;3780;3781;11171;11209;554;1
88.78;13.88;73.79;9.46;0;3781;;11209;11313;554;1
73.79;9.46;26.26;25.81;1;3781;3787;11313;11384;554;0
32.32;0.66;13.21;7.65;5;3810;3399;11601;11639;554;1
13.21;7.65;9.73;4.60;0;3399;;11639;11698;554;1
9.73;4.60;7.04;9.77;1;3399;3787;11698;11742;554;0
53.62;36.02;;;50;3904;;11742;;475;
7.18;9.76;19.48;11.05;1;3904;3910;11743;11769;475;1
19.48;11.05;17.83;11.92;0;3910;;11769;11787;475;1
17.83;11.92;16.45;3.85;1;3910;3909;11787;11807;475;1
16.45;3.85;20.10;3.86;0;3909;;11807;11850;475;1
20.10;3.86;15.05;7.32;1;3909;3906;11850;11879;475;1
15.05;7.32;29.76;5.90;0;3906;;11879;12015;475;0
37;0.80;58.32;2.92;5;3907;3906;12238;12273;475;0
58.36;2.86;58.58;0;1;3810;3839;12274;12295;554;0
58.58;-0.05;63.85;5.63;5;3907;3906;12453;12469;475;1
63.85;5.63;52.76;4.71;1;3906;3907;12469;12516;475;1
52.76;4.71;52.72;4.71;0;3907;;12516;12517;475;1
